fighter_url,name,height_in,reach_in,weight_lbs,stance,dob,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg
http://ufcstats.com/fighter-details/000774e57404d8c7,Chungreng Koren,,,135.0,,1998-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
http://ufcstats.com/fighter-details/001eb2ab0f30e7ea,Mark Choinski,68.0,69.0,155.0,Orthodox,1995-10-22,3.87,0.5,7.33,0.33,2.0,0.18,0.0,0.0
http://ufcstats.com/fighter-details/002ca196477ce572,Gabriel Silva,66.0,71.0,135.0,Orthodox,1994-08-26,1.3,0.34,3.47,0.45,1.5,0.25,0.38,0.5
http://ufcstats.com/fighter-details/003d82fa384ca1d0,Aalon Cruz,72.0,78.0,145.0,Switch,1989-09-20,7.58,0.39,8.88,0.58,0.0,0.0,0.0,0.0
http://ufcstats.com/fighter-details/0052de90691d4a93,Davi Ramos,66.0,70.0,155.0,Orthodox,1986-11-05,2.64,0.37,3.44,0.56,1.95,0.4,0.83,0.6
http://ufcstats.com/fighter-details/006efbb0c1621fd7,Tyler Hill,75.0,,170.0,Switch,1991-08-10,3.64,0.39,5.33,0.47,0.0,0.0,0.0,0.0
http://ufcstats.com/fighter-details/008c6e1a25751575,Wesley Little,76.0,,205.0,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
http://ufcstats.com/fighter-details/008cf84faae9c7a5,Bryan Travers,,,155.0,,1983-04-11,2.33,0.48,3.93,0.55,2.0,0.28,0.63,0.0
http://ufcstats.com/fighter-details/008dc37cca279def,Sean McCorkle,79.0,81.0,265.0,Orthodox,1976-07-17,0.85,0.44,2.48,0.52,2.12,0.4,0.33,4.2
http://ufcstats.com/fighter-details/008ea710276c9606,Jeff Molina,66.0,69.0,125.0,Orthodox,1997-07-17,7.25,0.48,5.04,0.55,0.0,0.0,0.66,0.0
http://ufcstats.com/fighter-details/009341ed974bad72,Jiri Prochazka,75.0,80.0,205.0,Orthodox,1992-10-14,5.74,0.55,5.7,0.43,0.6,0.6,0.68,0.2
http://ufcstats.com/fighter-details/009c4420727149ea,AJ Dobson,73.0,76.0,185.0,Orthodox,1992-01-18,4.29,0.46,5.31,0.46,1.67,0.75,0.65,0.3
http://ufcstats.com/fighter-details/00a35c92b03992b0,Oron Kahlon,68.0,70.0,135.0,Orthodox,1984-11-04,0.85,0.37,4.93,0.36,0.0,0.0,0.4,0.0
http://ufcstats.com/fighter-details/00a3ff40c4b2cf21,Glaico Franca Moreira,72.0,77.0,155.0,Orthodox,1991-02-28,2.35,0.42,3.46,0.47,2.68,0.42,0.76,0.3
http://ufcstats.com/fighter-details/00a905a4a4a2b071,Greg McIntyre,70.0,,155.0,Orthodox,1980-04-21,0.79,0.3,1.36,0.41,5.09,0.5,0.0,0.0
http://ufcstats.com/fighter-details/00b490982afd1b17,SangHoon Yoo,72.0,74.0,170.0,Orthodox,1990-01-18,4.83,0.65,6.11,0.4,0.53,1.0,0.69,0.5
http://ufcstats.com/fighter-details/00debc804e2b1cd4,Dylan Andrews,73.0,74.0,185.0,Switch,1979-11-15,2.21,0.5,2.72,0.46,2.83,0.5,0.57,0.4
http://ufcstats.com/fighter-details/00e11b5c8b7bfeeb,Luke Rockhold,75.0,77.0,185.0,Southpaw,1984-10-17,4.1,0.49,2.68,0.53,0.7,0.29,0.65,1.0
http://ufcstats.com/fighter-details/010986ee359fb863,John Salter,73.0,74.0,185.0,Southpaw,1985-03-21,1.68,0.32,1.68,0.68,2.85,0.46,0.66,0.5
http://ufcstats.com/fighter-details/0112352cb32f5026,Denis Tiuliulin,73.0,77.0,185.0,Orthodox,1988-05-17,3.61,0.41,5.23,0.38,0.96,0.42,0.72,0.0
http://ufcstats.com/fighter-details/012fc7cd0779c09a,Art Santore,74.0,,185.0,,1972-10-26,1.4,0.12,7.31,0.52,0.0,0.0,1.0,0.0
http://ufcstats.com/fighter-details/013da757877044a2,Joe Brammer,68.0,,155.0,Orthodox,1983-08-23,2.15,0.31,2.8,0.56,0.81,0.5,0.5,0.0
http://ufcstats.com/fighter-details/01641ba5df0c69b0,Gabriel Bonfim,73.0,72.0,170.0,Orthodox,1997-08-20,4.54,0.45,3.53,0.63,4.03,0.55,0.76,1.6
http://ufcstats.com/fighter-details/016a8d958883167c,Gina Mazany,66.0,68.0,125.0,Southpaw,1988-08-19,3.73,0.5,3.52,0.5,4.34,0.52,0.33,0.2
http://ufcstats.com/fighter-details/01762e1d4ff4dc51,Justice Torres,67.0,66.0,145.0,Southpaw,1997-10-19,0.79,0.22,8.29,0.53,5.92,0.5,0.0,0.0
http://ufcstats.com/fighter-details/01784fbc27c68b14,Rachael Ostovich,63.0,62.0,125.0,Orthodox,1991-02-25,2.54,0.43,3.97,0.57,2.03,0.83,0.66,0.8
http://ufcstats.com/fighter-details/01afe0916a40c7c5,Shavkat Rakhmonov,73.0,77.0,170.0,Orthodox,1994-10-23,3.25,0.6,2.17,0.51,1.4,0.25,0.85,1.2
http://ufcstats.com/fighter-details/01b352b6a9074d5c,Chase Sherman,76.0,78.0,250.0,Orthodox,1989-11-16,6.04,0.45,6.65,0.52,0.09,0.5,0.74,0.0
http://ufcstats.com/fighter-details/01b39decaf0abf6a,Benji Radach,70.0,,185.0,Orthodox,1979-04-05,2.62,0.49,2.31,0.51,1.06,0.41,0.71,0.4
http://ufcstats.com/fighter-details/01c9e4013afce141,Michael Aswell,68.0,69.0,145.0,Orthodox,2000-09-27,9.1,0.44,7.93,0.54,0.0,0.0,0.57,0.0
http://ufcstats.com/fighter-details/01d2ed8c502e3828,Caros Fodor,69.0,74.0,155.0,Orthodox,1984-01-07,2.76,0.54,2.83,0.54,2.1,0.25,0.5,0.0
http://ufcstats.com/fighter-details/01daf32100ed7517,Koji Oishi,68.0,,170.0,Orthodox,1977-05-31,1.43,0.09,17.86,0.43,0.0,0.0,0.0,0.0
http://ufcstats.com/fighter-details/01dd4cdc2446f665,Gary Padilla,71.0,,205.0,,1980-05-04,2.2,0.27,2.0,0.76,0.0,0.0,0.5,0.0
http://ufcstats.com/fighter-details/01dfb60661153735,Paulo Renato Junior,72.0,73.0,205.0,Orthodox,1994-01-25,4.89,0.45,5.18,0.56,0.0,0.0,1.0,0.0
http://ufcstats.com/fighter-details/01f022fa494188e2,Josh Bryant,70.0,,185.0,Orthodox,1980-04-23,1.1,0.2,6.1,0.43,0.0,0.0,0.0,0.0
http://ufcstats.com/fighter-details/01f4bcd26ac08ad5,Israel Delgado,70.0,,155.0,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
http://ufcstats.com/fighter-details/01f86e2d604e2f3c,Yoko Takahashi,68.0,,150.0,,1973-04-20,5.11,0.54,8.78,0.48,0.0,0.0,0.0,0.0
http://ufcstats.com/fighter-details/01fcef7e3d051722,Henry Briones,68.0,69.0,135.0,Orthodox,1980-10-22,3.47,0.42,4.68,0.53,0.0,0.0,0.52,0.6
http://ufcstats.com/fighter-details/01fed6f61ebea01f,Jay Perrin,67.0,67.0,135.0,Switch,1993-06-15,3.71,0.46,3.9,0.44,2.83,0.52,0.58,0.0
http://ufcstats.com/fighter-details/02177caefe7c07d4,Lloyd Van Dams,73.0,,240.0,Southpaw,1972-03-05,0.0,0.0,3.01,0.15,0.0,0.0,0.0,0.0
http://ufcstats.com/fighter-details/0232cabbc30a2372,Adrian Yanez,67.0,70.0,135.0,Orthodox,1993-11-29,6.23,0.41,5.75,0.54,0.0,0.0,0.81,0.0
http://ufcstats.com/fighter-details/024158997e7c5829,Freddy Vidal,75.0,79.0,205.0,Orthodox,1994-05-06,2.84,0.64,2.23,0.28,0.0,0.0,0.6,1.0
http://ufcstats.com/fighter-details/02500fb9fd79a974,Jason Reinhardt,66.0,,135.0,Orthodox,1969-10-31,0.51,0.4,4.07,0.43,1.91,0.12,0.5,0.0
http://ufcstats.com/fighter-details/025f0b1b58fbad01,Darko Stosic,72.0,76.0,205.0,Orthodox,1992-02-09,2.61,0.45,4.04,0.58,3.42,0.5,0.83,0.0
http://ufcstats.com/fighter-details/026b4f7049085842,Harris Sarmiento,69.0,,155.0,Orthodox,1983-09-09,0.84,0.25,3.46,0.36,2.36,0.6,0.57,0.0
http://ufcstats.com/fighter-details/0275e33febc2818c,DeMarco Villalona,69.0,,185.0,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
http://ufcstats.com/fighter-details/029880cdbf5ca089,Sean Sherk,66.0,67.0,155.0,Orthodox,1973-08-05,2.17,0.35,2.71,0.55,4.09,0.46,0.56,0.4
http://ufcstats.com/fighter-details/029afd138865d20a,Rafael Alves,68.0,68.0,155.0,Orthodox,1990-11-14,1.85,0.48,3.3,0.58,0.29,0.25,0.44,1.5
http://ufcstats.com/fighter-details/029e1293e609fd74,Abubakar Nurmagomedov,71.0,72.0,170.0,Orthodox,1989-11-13,2.78,0.53,2.61,0.65,1.25,0.22,0.88,0.0
http://ufcstats.com/fighter-details/029eaff01e6bb8f0,Dustin Poirier,69.0,72.0,155.0,Southpaw,1989-01-19,5.24,0.5,4.57,0.52,1.15,0.35,0.64,1.2
http://ufcstats.com/fighter-details/02a65a55f25fb4f3,Masakatsu Okuda,,,,,--,0.0,0.0,4.27,0.34,0.0,0.0,0.0,4.3
http://ufcstats.com/fighter-details/02bb48869eb7ac8f,Rayanne dos Santos,62.0,62.0,115.0,Orthodox,1995-06-08,4.57,0.4,6.47,0.59,0.5,0.14,0.8,0.0
http://ufcstats.com/fighter-details/02d276b7d62b3472,Rudyard Moncayo,70.0,,195.0,Orthodox,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
http://ufcstats.com/fighter-details/02d808afb96669de,Alex Zuniga,,,145.0,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
http://ufcstats.com/fighter-details/02e52b3a595f0786,Kevin Jordan,75.0,,245.0,Orthodox,1970-12-31,2.0,0.4,1.91,0.55,0.0,0.0,0.77,0.6
http://ufcstats.com/fighter-details/02f0e04acf102ea9,Michael Knaap,74.0,,220.0,Orthodox,1984-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
http://ufcstats.com/fighter-details/02f2a9702ba3d167,Artem Lobov,69.0,65.0,145.0,Southpaw,1986-08-11,3.52,0.41,4.82,0.5,0.39,0.25,0.52,0.0
http://ufcstats.com/fighter-details/02f484417a6fa69d,Uran Satybaldiev,76.0,79.0,205.0,Orthodox,1994-08-10,2.14,0.25,3.66,0.44,0.0,0.0,0.5,1.7
http://ufcstats.com/fighter-details/02f8fedc18cbd26c,Emily Ducote,62.0,63.0,115.0,Orthodox,1994-01-01,7.45,0.52,7.84,0.57,0.2,0.14,0.94,0.0
http://ufcstats.com/fighter-details/02fc8f50f56eb307,Trent Jenkins,74.0,,185.0,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
http://ufcstats.com/fighter-details/030f08370fd1c2bb,Kerry Schall,74.0,,265.0,Orthodox,1971-08-09,0.94,0.11,4.84,0.63,0.0,0.0,0.0,0.0
http://ufcstats.com/fighter-details/0313bf497de9c470,Igor Borisov,72.0,,235.0,Orthodox,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
http://ufcstats.com/fighter-details/031da10a00c8ccd4,Jin Aoi,66.0,68.0,145.0,Orthodox,1997-01-21,1.6,0.29,5.8,0.51,0.0,0.0,0.71,0.0
http://ufcstats.com/fighter-details/032b65d5fff611b2,Tsuyoshi Kurihara,70.0,,185.0,Orthodox,1973-07-13,0.0,0.0,12.0,0.5,0.0,0.0,0.0,0.0
http://ufcstats.com/fighter-details/032cc3922d871c7f,Khabib Nurmagomedov,70.0,70.0,155.0,Orthodox,1988-09-20,4.1,0.48,1.75,0.65,5.32,0.48,0.84,0.8
http://ufcstats.com/fighter-details/033343da4c0cff8a,Carina Damm,64.0,,135.0,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
http://ufcstats.com/fighter-details/033d19259f589457,Anthony Avila,67.0,,145.0,,1988-12-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
http://ufcstats.com/fighter-details/0359313549d230a1,Pete Sell,71.0,75.0,170.0,Orthodox,1982-08-05,2.6,0.42,3.65,0.51,0.91,0.21,0.47,0.9
http://ufcstats.com/fighter-details/03688dc3c3af3ac1,Bas Rutten,73.0,,205.0,Orthodox,1965-02-24,5.59,0.61,2.06,0.79,0.0,0.0,0.0,0.0
http://ufcstats.com/fighter-details/036e96c1c12b8a59,Nick Fiore,70.0,72.0,155.0,Orthodox,1997-12-10,2.83,0.46,7.93,0.42,2.5,0.45,0.71,0.0
http://ufcstats.com/fighter-details/037cfd34a27d59e9,Michael Oliveira,,,170.0,,1998-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
http://ufcstats.com/fighter-details/03b1b79b34eaf217,Nayara Maia,65.0,66.0,125.0,Orthodox,1990-07-25,0.6,0.36,3.33,0.43,1.0,0.33,0.0,1.0
http://ufcstats.com/fighter-details/03b1e846b09f721d,Denis Sobolev,75.0,,216.0,Orthodox,--,0.0,0.0,5.45,0.33,0.0,0.0,0.0,0.0
http://ufcstats.com/fighter-details/03c9994c5b8958ec,John Cholish,71.0,74.0,155.0,Orthodox,1983-12-17,2.65,0.49,2.29,0.73,1.82,0.31,0.78,0.4
http://ufcstats.com/fighter-details/03da33a102d9a45f,Jose Canseco,76.0,,240.0,Orthodox,1964-07-02,0.78,0.1,4.68,0.62,0.0,0.0,0.0,0.0
http://ufcstats.com/fighter-details/03dee485905dbc9f,Zachary Scroggin,75.0,74.0,170.0,Orthodox,1996-03-09,2.4,0.37,8.8,0.68,0.0,0.0,0.0,0.0
http://ufcstats.com/fighter-details/03e8df49c4a059ba,Yusaku Nakamura,65.0,,145.0,,1986-06-21,1.72,0.45,3.67,0.55,0.0,0.0,0.83,0.0
http://ufcstats.com/fighter-details/03f982ca3735070c,Walt Harris,77.0,77.0,250.0,Southpaw,1983-06-10,3.05,0.39,3.33,0.54,0.29,0.28,0.7,0.1
http://ufcstats.com/fighter-details/040426baba8a45e8,Nate Schroeder,73.0,,230.0,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
http://ufcstats.com/fighter-details/04076783ca83d6ae,Minoru Toyonaga,71.0,,195.0,Southpaw,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
http://ufcstats.com/fighter-details/040a74bb0a465c54,Arnold Allen,68.0,70.0,145.0,Southpaw,1994-01-22,3.45,0.41,2.88,0.61,0.93,0.47,0.75,0.3
http://ufcstats.com/fighter-details/040d3b4c735541aa,Zoila Frausto,64.0,,135.0,Orthodox,--,0.77,0.31,1.64,0.53,0.0,0.0,0.57,0.0
http://ufcstats.com/fighter-details/042cc07ad5a53a33,Lucrezia Ria,66.0,,125.0,Orthodox,1992-06-24,4.07,0.46,4.4,0.45,1.0,0.33,0.0,0.0
http://ufcstats.com/fighter-details/045f25b3a4c08e81,Jack Marshman,72.0,73.0,185.0,Orthodox,1989-12-19,2.74,0.25,4.19,0.56,0.0,0.0,0.2,0.0
http://ufcstats.com/fighter-details/04643fd03d9159cc,Marcus Aurelio,70.0,74.0,155.0,Orthodox,1973-08-18,1.42,0.33,2.27,0.59,1.69,0.27,0.27,1.3
http://ufcstats.com/fighter-details/046a85108610c0d2,Dashawn Boatwright,72.0,,205.0,Orthodox,1988-02-29,0.0,0.0,52.5,0.12,0.0,0.0,0.0,0.0
http://ufcstats.com/fighter-details/047a91d3d9c79b05,Collin Anglin,69.0,71.0,145.0,Orthodox,1993-02-20,4.59,0.48,5.54,0.51,2.28,0.66,1.0,0.0
http://ufcstats.com/fighter-details/04835018f90b118c,Casey O'Neill,66.0,69.0,125.0,Orthodox,1997-10-07,7.89,0.52,5.65,0.57,1.45,0.34,0.7,0.7
http://ufcstats.com/fighter-details/0496cdac0bc9edd8,Jesse Finney,72.0,,170.0,,1974-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
http://ufcstats.com/fighter-details/049d698d773eb3e1,Matt Horwich,73.0,,185.0,Orthodox,1978-10-02,1.11,0.62,2.16,0.38,0.33,0.09,0.28,2.7
http://ufcstats.com/fighter-details/04b39f4e8eb59d7c,Oluwale Bamgbose,71.0,78.0,185.0,Switch,1987-08-04,2.45,0.48,2.7,0.55,0.94,0.33,0.37,0.0
http://ufcstats.com/fighter-details/04c15b52c3cc1cab,Nate Mohr,69.0,72.0,155.0,Orthodox,1983-03-03,3.79,0.41,2.5,0.74,0.45,0.5,0.71,0.0
http://ufcstats.com/fighter-details/04c8b08b16a5b99e,Tanner Boser,74.0,75.0,205.0,Orthodox,1991-08-02,4.7,0.52,2.75,0.58,0.0,0.0,0.63,0.0
