event,event_url,fighter_red,fighter_blue,result,method,round,time,bout_url
UFC Fight Night: Ulberg vs. Reyes,http://ufcstats.com/event-details/ed220e87bef0cc64,Carlos Ulberg,Dominick Reyes,,,,,
UFC Fight Night: Ulberg vs. Reyes,http://ufcstats.com/event-details/ed220e87bef0cc64,Jimmy Crute,Ivan Erslan,,,,,
UFC Fight Night: Ulberg vs. Reyes,http://ufcstats.com/event-details/ed220e87bef0cc64,Jack Jenkins,Ramon Taveras,,,,,
UFC Fight Night: Ulberg vs. Reyes,http://ufcstats.com/event-details/ed220e87bef0cc64,Jake Matthews,Neil Magny,,,,,
UFC Fight Night: Ulberg vs. Reyes,http://ufcstats.com/event-details/ed220e87bef0cc64,Justin Tafa,Louie Sutherland,,,,,
UFC Fight Night: Ulberg vs. Reyes,http://ufcstats.com/event-details/ed220e87bef0cc64,Tom Nolan,Charlie Campbell,,,,,
UFC Fight Night: Ulberg vs. Reyes,http://ufcstats.com/event-details/ed220e87bef0cc64,Navajo Stirling,Rodolfo Bellato,,,,,
UFC Fight Night: Ulberg vs. Reyes,http://ufcstats.com/event-details/ed220e87bef0cc64,Cameron Rowston,Andre Petroski,,,,,
UFC Fight Night: Ulberg vs. Reyes,http://ufcstats.com/event-details/ed220e87bef0cc64,Jonathan Micallef,Oban Elliott,,,,,
UFC Fight Night: Ulberg vs. Reyes,http://ufcstats.com/event-details/ed220e87bef0cc64,Jamie Mullarkey,Rolando Bedoya,,,,,
UFC Fight Night: Ulberg vs. Reyes,http://ufcstats.com/event-details/ed220e87bef0cc64,Colby Thicknesse,Josias Musasa,,,,,
UFC Fight Night: Ulberg vs. Reyes,http://ufcstats.com/event-details/ed220e87bef0cc64,Michelle Montague,Luana Carolina,,,,,
UFC Fight Night: Ulberg vs. Reyes,http://ufcstats.com/event-details/ed220e87bef0cc64,Brando Pericic,Elisha Ellison,,,,,
UFC Fight Night: Ulberg vs. Reyes,http://ufcstats.com/event-details/ed220e87bef0cc64,Loma Lookboonmee,Alexia Thainara,,,,,
UFC Fight Night: Lopes vs. Silva,http://ufcstats.com/event-details/5efaaf313b652dd7,Diego Lopes,Jean Silva,win,KO/TKOPunches,2,4:48,http://ufcstats.com/fight-details/de1a3734be60e6a1
UFC Fight Night: Lopes vs. Silva,http://ufcstats.com/event-details/5efaaf313b652dd7,David Martinez,Rob Font,win,U-DEC,3,5:00,http://ufcstats.com/fight-details/944b929130b23c2a
UFC Fight Night: Lopes vs. Silva,http://ufcstats.com/event-details/5efaaf313b652dd7,Rafa Garcia,Jared Gordon,win,KO/TKOElbows,3,2:27,http://ufcstats.com/fight-details/7cbfeba85f86d1bf
UFC Fight Night: Lopes vs. Silva,http://ufcstats.com/event-details/5efaaf313b652dd7,Kelvin Gastelum,Dustin Stoltzfus,win,U-DEC,3,5:00,http://ufcstats.com/fight-details/114d2f6fcd3f6f00
UFC Fight Night: Lopes vs. Silva,http://ufcstats.com/event-details/5efaaf313b652dd7,Alexander Hernandez,Diego Ferreira,win,KO/TKOPunches,2,3:46,http://ufcstats.com/fight-details/202c47db69768356
UFC Fight Night: Lopes vs. Silva,http://ufcstats.com/event-details/5efaaf313b652dd7,Santiago Luna,Quang Le,win,KO/TKOPunch,1,2:48,http://ufcstats.com/fight-details/8a884a7930d75ca9
UFC Fight Night: Lopes vs. Silva,http://ufcstats.com/event-details/5efaaf313b652dd7,Dusko Todorovic,Jose Daniel Medina,win,SUBRear Naked Choke,1,4:21,http://ufcstats.com/fight-details/07a378b257aad5a9
UFC Fight Night: Lopes vs. Silva,http://ufcstats.com/event-details/5efaaf313b652dd7,Joaquim Silva,Claudio Puelles,win,S-DEC,3,5:00,http://ufcstats.com/fight-details/352839a03b428e74
UFC Fight Night: Lopes vs. Silva,http://ufcstats.com/event-details/5efaaf313b652dd7,Tatiana Suarez,Amanda Lemos,win,U-DEC,3,5:00,http://ufcstats.com/fight-details/9474f64347aade7a
UFC Fight Night: Lopes vs. Silva,http://ufcstats.com/event-details/5efaaf313b652dd7,Jesus Aguilar,Luis Gurule,win,U-DEC,3,5:00,http://ufcstats.com/fight-details/3dc1a6335d890650
UFC Fight Night: Lopes vs. Silva,http://ufcstats.com/event-details/5efaaf313b652dd7,Zachary Reese,Sedriques Dumas,ncnc,CNC,1,0:51,http://ufcstats.com/fight-details/d822ebc7dbc6c259
UFC Fight Night: Lopes vs. Silva,http://ufcstats.com/event-details/5efaaf313b652dd7,Alden Coria,Alessandro Costa,win,KO/TKOPunches,3,0:47,http://ufcstats.com/fight-details/a1e193425e716b42
